time,Channel_H_dn,Channel_H_up,Channel_Q_dn,Channel_Q_up
2013-01-02 17:30:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 18:00:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 18:30:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 19:00:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 19:30:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 20:00:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 20:30:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 21:00:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 21:30:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 22:00:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 22:30:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 23:00:00,-0.000000,0.099557,100.000000,100.000000
2013-01-02 23:30:00,-0.000000,0.099557,100.000000,100.000000
2013-01-03 00:00:00,0.000000,0.099557,100.000000,100.000000
2013-01-03 00:30:00,0.000000,0.099557,100.000000,100.000000
