time,H_middle,H_upstream,Q_dam_middle,Q_dam_upstream,Q_in
2013-01-01 19:00:00,15.499686,21.170816,219.774077,414.338296,500.000000
2013-01-01 19:15:00,15.573719,21.190572,239.744067,429.004495,500.000000
2013-01-01 19:30:00,15.646174,21.200631,260.050738,441.822150,500.000000
2013-01-01 19:45:00,15.715687,21.202353,280.394440,452.987694,500.000000
2013-01-01 20:00:00,15.781085,21.196954,300.503804,462.680318,500.000000
2013-01-01 20:15:00,15.841413,21.185518,320.142142,471.062808,500.000000
2013-01-01 20:30:00,15.895940,21.169012,339.111008,478.282683,500.000000
2013-01-01 20:45:00,15.944154,21.148292,357.251106,484.473355,500.000000
2013-01-01 21:00:00,15.985745,21.124116,374.441036,489.755228,500.000000
2013-01-01 21:15:00,16.020586,21.097152,390.594485,494.236720,500.000000
2013-01-01 21:30:00,16.048704,21.067985,405.656470,498.015228,500.000000
2013-01-01 21:45:00,16.070256,21.037128,419.599136,501.178035,500.000000
2013-01-01 22:00:00,16.085500,21.005027,432.417466,503.803168,500.000000
2013-01-01 22:15:00,16.094774,20.972070,444.125178,505.960201,500.000000
2013-01-01 22:30:00,16.098471,20.938587,454.750935,507.711022,500.000000
2013-01-01 22:45:00,16.097025,20.904866,464.334967,509.110541,500.000000
2013-01-01 23:00:00,16.090891,20.871148,472.926111,510.207355,500.000000
2013-01-01 23:15:00,16.080533,20.837640,480.579283,511.044369,500.000000
2013-01-01 23:30:00,16.066414,20.804511,487.353338,511.659365,500.000000
2013-01-01 23:45:00,16.048990,20.771907,493.309305,512.085531,500.000000
2013-01-02 00:00:00,16.028697,20.739941,498.508942,512.351940,500.000000
2013-01-02 00:15:00,16.005952,20.708710,503.013571,512.483997,500.000000
2013-01-02 00:30:00,15.981148,20.678286,506.883178,512.503840,500.000000
2013-01-02 00:45:00,15.954652,20.648727,510.175704,512.430704,500.000000
2013-01-02 01:00:00,15.926800,20.620077,512.946538,512.281254,500.000000
2013-01-02 01:15:00,15.897902,20.592364,515.248146,512.069882,500.000000
2013-01-02 01:30:00,15.868240,20.565607,517.129835,511.808976,500.000000
2013-01-02 01:45:00,15.838066,20.539816,518.637612,511.509164,500.000000
2013-01-02 02:00:00,15.807606,20.514993,519.814138,511.179525,500.000000
2013-01-02 02:15:00,15.777061,20.491133,520.698734,510.827784,500.000000
2013-01-02 02:30:00,15.746608,20.468227,521.327456,510.460485,500.000000
2013-01-02 02:45:00,15.716398,20.446258,521.733193,510.083141,500.000000
2013-01-02 03:00:00,15.686566,20.425210,521.945807,509.700370,500.000000
2013-01-02 03:15:00,15.657223,20.405061,521.992286,509.316013,500.000000
2013-01-02 03:30:00,15.628465,20.385786,521.896918,508.933242,500.000000
2013-01-02 03:45:00,15.600372,20.367362,521.681462,508.554650,500.000000
2013-01-02 04:00:00,15.573006,20.349761,521.365335,508.182334,500.000000
2013-01-02 04:15:00,15.546359,20.325559,520.953309,506.271837,300.000000
2013-01-02 04:30:00,15.520089,20.274405,520.380041,498.510752,100.000000
2013-01-02 04:45:00,15.493051,20.178574,519.410003,480.951748,100.000000
2013-01-02 05:00:00,15.462999,20.041246,517.566577,453.857344,100.000000
2013-01-02 05:15:00,15.426887,19.883315,514.186043,421.220894,100.000000
2013-01-02 05:30:00,15.381807,19.727303,508.606417,387.564363,100.000000
2013-01-02 05:45:00,15.326051,19.587188,500.389533,355.825983,100.000000
2013-01-02 06:00:00,15.259671,19.467977,489.450748,327.195615,100.000000
2013-01-02 06:15:00,15.184350,19.369376,476.045641,301.799754,100.000000
2013-01-02 06:30:00,15.102771,19.289037,460.654648,279.333347,100.000000
2013-01-02 06:45:00,15.017907,19.224273,443.843024,259.399066,100.000000
2013-01-02 07:00:00,14.932493,19.172672,426.152754,241.632767,100.000000
2013-01-02 07:15:00,14.848756,19.132209,408.044075,225.730019,100.000000
2013-01-02 07:30:00,14.768348,19.101208,389.877702,211.440746,100.000000
2013-01-02 07:45:00,14.692405,19.078274,371.920755,198.558388,100.000000
2013-01-02 08:00:00,14.621639,19.062235,354.362354,186.910689,100.000000
2013-01-02 08:15:00,14.556441,19.052101,337.330685,176.352848,100.000000
2013-01-02 08:30:00,14.496964,19.047032,320.908008,166.762406,100.000000
2013-01-02 08:45:00,14.443194,19.046313,305.142681,158.035314,100.000000
2013-01-02 09:00:00,14.394998,19.049330,290.058406,150.082787,100.000000
2013-01-02 09:15:00,14.352164,19.055560,275.661205,142.828761,100.000000
2013-01-02 09:30:00,14.314432,19.064550,261.944670,136.207787,100.000000
2013-01-02 09:45:00,14.281510,19.075912,248.893879,130.163294,100.000000
2013-01-02 10:00:00,14.253093,19.089307,236.488330,124.646131,100.000000
2013-01-02 10:15:00,14.228873,19.104443,224.704115,119.613360,100.000000
2013-01-02 10:30:00,14.208546,19.121065,213.515530,115.027231,100.000000
2013-01-02 10:45:00,14.191817,19.138948,202.896245,110.854326,100.000000
2013-01-02 11:00:00,14.178409,19.157895,192.820152,107.064840,100.000000
2013-01-02 11:15:00,14.168055,19.177733,183.261962,103.631973,100.000000
2013-01-02 11:30:00,14.160510,19.198306,174.197613,100.531421,100.000000
2013-01-02 11:45:00,14.155545,19.219477,165.604536,97.740954,100.000000
2013-01-02 12:00:00,14.152949,19.241122,157.461818,95.240059,100.000000
2013-01-02 12:15:00,14.152528,19.263129,149.750279,93.009656,100.000000
2013-01-02 12:30:00,14.154104,19.285398,142.452489,91.031859,100.000000
2013-01-02 12:45:00,14.157517,19.307835,135.552732,89.289792,100.000000
2013-01-02 13:00:00,14.162620,19.330357,129.036941,87.767441,100.000000
2013-01-02 13:15:00,14.169281,19.352887,122.892597,86.449548,100.000000
2013-01-02 13:30:00,14.177379,19.375356,117.108597,85.321523,100.000000
2013-01-02 13:45:00,14.186805,19.397699,111.675110,84.369396,100.000000
2013-01-02 14:00:00,14.197461,19.419858,106.583410,83.579773,100.000000
2013-01-02 14:15:00,14.209256,19.441778,101.825687,82.939817,100.000000
2013-01-02 14:30:00,14.222107,19.463411,97.394853,82.437237,100.000000
2013-01-02 14:45:00,14.235937,19.484714,93.284335,82.060283,100.000000
2013-01-02 15:00:00,14.250674,19.505648,89.487863,81.797750,100.000000
2013-01-02 15:15:00,14.266250,19.526176,85.999255,81.638981,100.000000
2013-01-02 15:30:00,14.282598,19.546268,82.812215,81.573868,100.000000
2013-01-02 15:45:00,14.299653,19.565898,79.920143,81.592858,100.000000
2013-01-02 16:00:00,14.317351,19.585041,77.315960,81.686953,100.000000
2013-01-02 16:15:00,14.335628,19.603680,74.991971,81.847706,100.000000
2013-01-02 16:30:00,14.354418,19.621796,72.939756,82.067218,100.000000
2013-01-02 16:45:00,14.373656,19.639379,71.150099,82.338127,100.000000
2013-01-02 17:00:00,14.393273,19.656417,69.612962,82.653600,100.000000
2013-01-02 17:15:00,14.413201,19.672905,68.317500,83.007315,100.000000
2013-01-02 17:30:00,14.433372,19.688838,67.252108,83.393449,100.000000
