time,TroutLake_Q_turbine,TroutLake_V,RiverCity_Q,TroutLake_Q_spill,TroutLake_Inflow,Alder_Inflow,TroutLake_Q_out
2000-01-01 00:00:00,10.0,616740918.8,11.441501203,0.0,9.91089645,1.441501203,10.0
2000-02-01 00:00:00,20.411556889031832,592624889.0594251,21.452385234031834,0.0,11.40766287,1.040828345,20.411556889031832
2000-03-01 00:00:00,22.30665154457735,567612719.3333641,23.481037508577348,0.0,12.32414447,1.174385964,22.30665154457735
2000-04-01 00:00:00,21.684917892378795,575081074.8305767,23.481037602378795,0.0,24.4732824,1.79611971,21.684917892378795
2000-05-01 00:00:00,18.7848300910621,619501641.0009437,20.848065040062096,0.0,35.9223942,2.063234949,18.7848300910621
2000-06-01 00:00:00,18.784830092893912,629075736.0154648,19.890134529893917,0.0,22.35938767,1.105304437,18.784830092893912
2000-07-01 00:00:00,14.847922667303184,629075736.6963749,15.013718333303183,0.0,14.84792293,0.165795666,14.847922667303184
2000-08-01 00:00:00,14.088622362086419,616245534.3450426,14.480084350086418,0.0,9.298373575,0.391461988,14.088622362086419
2000-09-01 00:00:00,14.088622370329569,588144357.4479839,14.185336508329566,0.0,3.596844855,0.096714138,14.088622370329569
2000-10-01 00:00:00,6.487053568343092,582109285.5870945,7.044311222343092,0.0,4.158707943,0.557257654,6.487053568343092
2000-11-01 00:00:00,6.201516614988473,589898164.1687766,7.044311247988474,0.0,9.109550733,0.842794633,6.201516614988473
2000-12-01 00:00:00,6.358101497915498,600611106.9639398,7.044311335915498,0.0,10.49118128,0.686209838,6.358101497915498
2001-01-01 00:00:00,10.310792597985415,604104048.2103596,11.061478527985413,0.0,11.61490746,0.75068593,10.310792597985415
2001-02-01 00:00:00,22.638242795850378,579352868.273378,23.481037428850378,0.0,13.39721086,0.842794633,22.638242795850378
2001-03-01 00:00:00,22.564555992756,565029962.3703905,23.481037588755996,0.0,16.64404264,0.916481596,22.564555992756
2001-04-01 00:00:00,22.07637990500431,583661671.574491,23.481037627004305,0.0,29.03266321,1.404657722,22.07637990500431
2001-05-01 00:00:00,18.59467094191307,629279430.2360923,23.48103763991307,0.0,36.19411487,4.886366698,18.59467094191307
2001-06-01 00:00:00,14.088622437121334,661978441.7213386,16.266993265121332,0.0,26.29703473,2.178370828,14.088622437121334
2001-07-01 00:00:00,14.088622351769077,652773247.338513,14.774832189769075,0.0,10.53723563,0.686209838,14.088622351769077
2001-08-01 00:00:00,14.088622341760953,629075736.0314126,14.130071257760953,0.0,5.240985205,0.041448916,14.088622341760953
2001-09-01 00:00:00,14.088622339417725,595941798.629977,14.553771289417723,0.0,1.717827312,0.46514895,14.088622339417725
2001-10-01 00:00:00,6.542318744914128,579019920.3057195,7.044311176914128,0.0,0.013816305,0.501992432,6.542318744914128
2001-11-01 00:00:00,6.054142619332828,570180952.8287033,7.044311177332828,0.0,2.754050222,0.990168558,6.054142619332828
2001-12-01 00:00:00,5.9205850016613955,568801423.366765,7.0443111786613954,0.0,5.388359129,1.123726177,5.9205850016613955
2002-01-01 00:00:00,6.003482834295483,573580513.9399576,7.044311179295485,0.0,7.787790844,1.040828345,6.003482834295483
2002-02-01 00:00:00,6.385733953732201,581653102.2458845,7.044311180732201,0.0,9.399693148,0.658577227,6.385733953732201
2002-03-01 00:00:00,6.040326321078322,590727107.3149431,7.044311184078321,0.0,9.791155136,1.003984863,6.040326321078322
2002-04-01 00:00:00,5.285034955209209,619584503.4255027,7.044311184209208,0.0,16.05915238,1.759276229,5.285034955209209
2002-05-01 00:00:00,14.088622348335196,625300918.944058,14.912995240335194,0.0,16.29402957,0.824372892,14.088622348335196
2002-06-01 00:00:00,14.088622347795004,619699142.3616116,14.931416980795005,0.0,11.99715857,0.842794633,14.088622347795004
2002-07-01 00:00:00,14.08862234830459,602221407.4642463,14.185336486304589,0.0,7.34566907,0.096714138,14.08862234830459
2002-08-01 00:00:00,14.088622350114651,566497078.5566111,14.240601710114651,0.0,0.75068593,0.15197936,14.088622350114651
2002-09-01 00:00:00,14.088622353209205,534004571.3890716,14.595220220209207,0.0,1.95730994,0.506597867,14.088622353209205
2002-10-01 00:00:00,6.261387218584316,524113755.60157305,7.044311194584316,0.0,2.445486066,0.782923976,6.261387218584316
2002-11-01 00:00:00,6.574556813385838,514867726.547666,7.044311199385838,0.0,3.122485034,0.469754386,6.574556813385838
2002-12-01 00:00:00,6.390339417326338,510933617.39402014,7.044311209326338,0.0,4.872550392,0.653971792,6.390339417326338
2003-01-01 00:00:00,6.233754634914274,510864975.2304865,7.044311221914273,0.0,6.208126587,0.810556587,6.233754634914274
