time,Channel_H_dn,Channel_H_up,Channel_Q_dn,Channel_Q_up
2013-01-01 01:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 01:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 01:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 01:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 02:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 02:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 02:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 02:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 03:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 03:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 03:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 03:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 04:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 04:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 04:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 04:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 05:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 05:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 05:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 05:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 06:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 06:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 06:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 06:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 07:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 07:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 07:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 07:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 08:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 08:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 08:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 08:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 09:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 09:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 09:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 09:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 10:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 10:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 10:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 10:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 11:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 11:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 11:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 11:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 12:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 12:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 12:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 12:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 13:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 13:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 13:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 13:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 14:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 14:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 14:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 14:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 15:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 15:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 15:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 15:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 16:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 16:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 16:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 16:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 17:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 17:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 17:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 17:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 18:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 18:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 18:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 18:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 19:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 19:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 19:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 19:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 20:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 20:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 20:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 20:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-01 21:00:00,0.000000,3.290700,146.592884,500.000000
2013-01-01 21:15:00,0.000000,4.033912,222.151313,500.000000
2013-01-01 21:30:00,0.000000,4.535132,293.446465,500.000000
2013-01-01 21:45:00,0.000000,4.896643,349.004821,500.000000
2013-01-01 22:00:00,0.000000,5.159203,389.775334,500.000000
2013-01-01 22:15:00,0.000000,5.350447,419.387876,500.000000
2013-01-01 22:30:00,0.000000,5.489937,440.964173,500.000000
2013-01-01 22:45:00,0.000000,5.591793,456.740956,500.000000
2013-01-01 23:00:00,0.000000,5.666238,468.296765,500.000000
2013-01-01 23:15:00,0.000000,5.720690,476.765558,500.000000
2013-01-01 23:30:00,0.000000,5.760540,482.972645,500.000000
2013-01-01 23:45:00,0.000000,5.789714,487.521938,500.000000
2013-01-02 00:00:00,0.000000,5.811077,490.856044,500.000000
2013-01-02 00:15:00,0.000000,5.826724,493.299448,500.000000
2013-01-02 00:30:00,0.000000,5.838185,495.090032,500.000000
2013-01-02 00:45:00,0.000000,5.846581,496.402173,500.000000
2013-01-02 01:00:00,0.000000,5.852732,497.363687,500.000000
2013-01-02 01:15:00,0.000000,5.857238,498.068255,500.000000
2013-01-02 01:30:00,0.000000,5.860540,498.584532,500.000000
2013-01-02 01:45:00,0.000000,5.862959,498.962834,500.000000
2013-01-02 02:00:00,0.000000,5.864731,499.240033,500.000000
2013-01-02 02:15:00,0.000000,5.866030,499.443148,500.000000
2013-01-02 02:30:00,0.000000,5.866981,499.591977,500.000000
2013-01-02 02:45:00,0.000000,5.867678,499.701029,500.000000
2013-01-02 03:00:00,0.000000,5.868189,499.780935,500.000000
2013-01-02 03:15:00,0.000000,5.868564,499.839485,500.000000
2013-01-02 03:30:00,0.000000,5.868838,499.882386,500.000000
2013-01-02 03:45:00,0.000000,5.869039,499.913821,500.000000
2013-01-02 04:00:00,0.000000,5.869186,499.936854,500.000000
2013-01-02 04:15:00,0.000000,5.869294,499.953731,500.000000
2013-01-02 04:30:00,0.000000,5.869373,499.966098,500.000000
2013-01-02 04:45:00,0.000000,5.869431,499.975159,500.000000
2013-01-02 05:00:00,0.000000,5.869473,499.981798,500.000000
2013-01-02 05:15:00,0.000000,5.869505,499.986663,500.000000
2013-01-02 05:30:00,0.000000,5.869527,499.990228,500.000000
2013-01-02 05:45:00,0.000000,5.869544,499.992840,500.000000
2013-01-02 06:00:00,0.000000,5.869556,499.994753,500.000000
2013-01-02 06:15:00,0.000000,5.869565,499.996156,500.000000
2013-01-02 06:30:00,0.000000,5.869572,499.997183,500.000000
2013-01-02 06:45:00,0.000000,5.869577,499.997936,500.000000
2013-01-02 07:00:00,0.000000,3.875325,457.823627,100.000000
2013-01-02 07:15:00,0.000000,3.154644,386.662719,100.000000
2013-01-02 07:30:00,0.000000,2.585818,315.814755,100.000000
2013-01-02 07:45:00,0.000000,2.137128,258.346330,100.000000
2013-01-02 08:00:00,0.000000,1.794162,214.918931,100.000000
2013-01-02 08:15:00,0.000000,1.538427,182.606176,100.000000
2013-01-02 08:30:00,0.000000,1.351943,158.647419,100.000000
2013-01-02 08:45:00,0.000000,1.218753,141.032371,100.000000
2013-01-02 09:00:00,0.000000,1.125467,128.273173,100.000000
2013-01-02 09:15:00,0.000000,1.061301,119.199339,100.000000
2013-01-02 09:30:00,0.000000,1.017875,112.867674,100.000000
2013-01-02 09:45:00,0.000000,0.988890,108.527568,100.000000
2013-01-02 10:00:00,0.000000,0.969763,105.599103,100.000000
2013-01-02 10:15:00,0.000000,0.957253,103.649217,100.000000
2013-01-02 10:30:00,0.000000,0.949128,102.364827,100.000000
2013-01-02 10:45:00,0.000000,0.943877,101.525924,100.000000
2013-01-02 11:00:00,0.000000,0.940497,100.981514,100.000000
2013-01-02 11:15:00,0.000000,0.938325,100.629904,100.000000
2013-01-02 11:30:00,0.000000,0.936934,100.403604,100.000000
2013-01-02 11:45:00,0.000000,0.936043,100.258316,100.000000
2013-01-02 12:00:00,0.000000,0.935473,100.165202,100.000000
2013-01-02 12:15:00,0.000000,0.935108,100.105597,100.000000
2013-01-02 12:30:00,0.000000,0.934876,100.067474,100.000000
2013-01-02 12:45:00,0.000000,0.934727,100.043104,100.000000
2013-01-02 13:00:00,0.000000,0.934632,100.027532,100.000000
2013-01-02 13:15:00,0.000000,0.934571,100.017583,100.000000
2013-01-02 13:30:00,0.000000,0.934532,100.011229,100.000000
2013-01-02 13:45:00,0.000000,0.934508,100.007171,100.000000
2013-01-02 14:00:00,0.000000,0.934492,100.004579,100.000000
2013-01-02 14:15:00,0.000000,0.934482,100.002924,100.000000
2013-01-02 14:30:00,0.000000,0.934475,100.001867,100.000000
2013-01-02 14:45:00,0.000000,0.934471,100.001192,100.000000
2013-01-02 15:00:00,0.000000,0.934469,100.000761,100.000000
2013-01-02 15:15:00,0.000000,0.934467,100.000486,100.000000
2013-01-02 15:30:00,0.000000,0.934466,100.000310,100.000000
2013-01-02 15:45:00,0.000000,0.934465,100.000198,100.000000
2013-01-02 16:00:00,0.000000,0.934465,100.000127,100.000000
2013-01-02 16:15:00,0.000000,0.934464,100.000081,100.000000
2013-01-02 16:30:00,0.000000,0.934464,100.000052,100.000000
2013-01-02 16:45:00,0.000000,0.934464,100.000033,100.000000
2013-01-02 17:00:00,0.000000,0.934464,100.000021,100.000000
2013-01-02 17:15:00,0.000000,0.934464,100.000013,100.000000
2013-01-02 17:30:00,0.000000,0.934464,100.000009,100.000000
2013-01-02 17:45:00,0.000000,0.934464,100.000005,100.000000
2013-01-02 18:00:00,0.000000,0.934464,100.000003,100.000000
2013-01-02 18:15:00,0.000000,0.934464,100.000002,100.000000
2013-01-02 18:30:00,0.000000,0.934464,100.000001,100.000000
2013-01-02 18:45:00,0.000000,0.934464,100.000001,100.000000
2013-01-02 19:00:00,0.000000,0.934464,100.000001,100.000000
2013-01-02 19:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 19:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 19:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 20:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 20:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 20:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 20:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 21:00:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 21:15:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 21:30:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 21:45:00,0.000000,0.934464,100.000000,100.000000
2013-01-02 22:00:00,0.000000,0.934464,100.000000,100.000000
